run_id,seed,month,simulated_date,prediction_id,agent,claim,confidence,claim_source,resolution_source,outcome,trust_before,trust_after,calibration_delta,explanation
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,3,2027-03-01,780c48a7-9ca6-44f4-afb5-0cfb9ca43a05,Growth Marketer,Month 3 CAC will be <= 38.61.,0.62,market_oracle_pre_decision_signal:seed=7319:month=3,market_oracle_monthly_actual:seed=7319:month=3,False,0.4464,0.4216,-0.0248,CAC actual 47.62 > 38.61
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,3,2027-03-01,be485613-9a7f-450f-a0a7-dd4607239443,Product Manager,Month 3 conversion rate will be >= 0.0377.,0.58,market_oracle_pre_decision_signal:seed=7319:month=3,market_oracle_monthly_actual:seed=7319:month=3,True,0.4176,0.3944,-0.0232,conversion actual 0.0459 >= 0.0377
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,3,2027-03-01,5fd33b55-9da1-4127-bb16-0250bd45b567,Finance Controller,Month 3 gross revenue will be >= 1570.80.,0.6,market_oracle_pre_decision_signal:seed=7319:month=3,market_oracle_monthly_actual:seed=7319:month=3,True,0.432,0.408,-0.024,gross revenue actual 4200.0 >= 1570.80
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,3,2027-03-01,edec9c55-bcff-403e-9a33-8eb926d4f2bc,Operations Manager,Month 3 stockout risk will be <= 0.1000.,0.64,market_oracle_pre_decision_signal:seed=7319:month=3,market_oracle_monthly_actual:seed=7319:month=3,True,0.4608,0.4352,-0.0256,stockout risk actual 0.0998 <= 0.1000
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,3,2027-03-01,680959bd-44b3-49b1-9364-b70fed1366c9,Founder CEO,Month 3 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=3,market_oracle_monthly_actual:seed=7319:month=3,True,0.4032,0.3808,-0.0224,health score actual 0.4914 >= 0.4342
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,4,2027-04-01,3094548f-a82f-46c1-9caa-46c851593fba,Growth Marketer,Month 4 CAC will be <= 39.83.,0.62,market_oracle_pre_decision_signal:seed=7319:month=4,market_oracle_monthly_actual:seed=7319:month=4,False,0.4216,0.3968,-0.0248,CAC actual 48.65 > 39.83
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,4,2027-04-01,890c3727-638d-4ce7-8e09-39511edbb059,Product Manager,Month 4 conversion rate will be >= 0.0416.,0.58,market_oracle_pre_decision_signal:seed=7319:month=4,market_oracle_monthly_actual:seed=7319:month=4,True,0.3944,0.3712,-0.0232,conversion actual 0.0509 >= 0.0416
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,4,2027-04-01,89e0a947-794b-4521-adf6-a117801c20e2,Finance Controller,Month 4 gross revenue will be >= 3578.85.,0.6,market_oracle_pre_decision_signal:seed=7319:month=4,market_oracle_monthly_actual:seed=7319:month=4,True,0.408,0.384,-0.024,gross revenue actual 9612.0 >= 3578.85
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,4,2027-04-01,de5942e9-4acb-46a8-a955-d5ad8fd64db7,Operations Manager,Month 4 stockout risk will be <= 0.1000.,0.64,market_oracle_pre_decision_signal:seed=7319:month=4,market_oracle_monthly_actual:seed=7319:month=4,True,0.4352,0.4096,-0.0256,stockout risk actual 0.0603 <= 0.1000
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,4,2027-04-01,e6dd240f-a674-458f-844c-9427b9939a5d,Founder CEO,Month 4 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=4,market_oracle_monthly_actual:seed=7319:month=4,False,0.3808,0.3584,-0.0224,health score actual 0.4635 < 0.5014
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,5,2027-05-01,09e1891e-9469-4db0-a016-a88ddc4b573a,Growth Marketer,Month 5 CAC will be <= 39.72.,0.62,market_oracle_pre_decision_signal:seed=7319:month=5,market_oracle_monthly_actual:seed=7319:month=5,False,0.3968,0.0,-0.3968,CAC actual 40.72 > 39.72
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,5,2027-05-01,02bb3dd3-d074-4110-8a66-e6b67464fb6e,Product Manager,Month 5 conversion rate will be >= 0.0407.,0.58,market_oracle_pre_decision_signal:seed=7319:month=5,market_oracle_monthly_actual:seed=7319:month=5,True,0.3712,0.09,-0.2812,conversion actual 0.052 >= 0.0407
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,5,2027-05-01,dd976199-745a-4b36-9e1f-8eded13f2fa7,Finance Controller,Month 5 gross revenue will be >= 6088.50.,0.6,market_oracle_pre_decision_signal:seed=7319:month=5,market_oracle_monthly_actual:seed=7319:month=5,True,0.384,0.09,-0.294,gross revenue actual 14850.0 >= 6088.50
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,5,2027-05-01,2ac8940f-2b3b-46b5-981d-2be6c79a3589,Operations Manager,Month 5 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=5,market_oracle_monthly_actual:seed=7319:month=5,True,0.4096,0.28,-0.1296,stockout risk actual 0.079 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,5,2027-05-01,2d611c03-0c1a-4c89-be82-53f55f8a8804,Founder CEO,Month 5 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=5,market_oracle_monthly_actual:seed=7319:month=5,False,0.3584,0.3584,0.0,health score actual 0.4641 < 0.4735
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,6,2027-06-01,cbc10457-680c-40be-a20b-a9f2aded667f,Growth Marketer,Month 6 CAC will be <= 42.34.,0.62,market_oracle_pre_decision_signal:seed=7319:month=6,market_oracle_monthly_actual:seed=7319:month=6,True,0.0,0.015,0.015,CAC actual 33.83 <= 42.34
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,6,2027-06-01,529c3a28-ace0-48b2-b9e6-3f7815770f5f,Product Manager,Month 6 conversion rate will be >= 0.0411.,0.58,market_oracle_pre_decision_signal:seed=7319:month=6,market_oracle_monthly_actual:seed=7319:month=6,True,0.09,0.09,0.0,conversion actual 0.0596 >= 0.0411
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,6,2027-06-01,febfa872-d6d6-4f80-ab26-5002db22c2e6,Finance Controller,Month 6 gross revenue will be >= 8835.75.,0.6,market_oracle_pre_decision_signal:seed=7319:month=6,market_oracle_monthly_actual:seed=7319:month=6,True,0.09,0.09,0.0,gross revenue actual 20250.0 >= 8835.75
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,6,2027-06-01,df38eb42-6330-4d95-b436-213abf5a449b,Operations Manager,Month 6 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=6,market_oracle_monthly_actual:seed=7319:month=6,True,0.28,0.1667,-0.1133,stockout risk actual 0.1102 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,6,2027-06-01,e64a07aa-4543-463f-90e8-d8a195da8667,Founder CEO,Month 6 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=6,market_oracle_monthly_actual:seed=7319:month=6,False,0.3584,0.1778,-0.1806,health score actual 0.4454 < 0.4741
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,7,2027-07-01,bb296f59-28b0-4b3e-9b96-d1c77d4a8e93,Growth Marketer,Month 7 CAC will be <= 43.15.,0.62,market_oracle_pre_decision_signal:seed=7319:month=7,market_oracle_monthly_actual:seed=7319:month=7,True,0.015,0.0306,0.0156,CAC actual 40.87 <= 43.15
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,7,2027-07-01,bff4c2d9-c34c-465b-a068-cfd0d25ba22a,Product Manager,Month 7 conversion rate will be >= 0.0407.,0.58,market_oracle_pre_decision_signal:seed=7319:month=7,market_oracle_monthly_actual:seed=7319:month=7,True,0.09,0.09,0.0,conversion actual 0.0584 >= 0.0407
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,7,2027-07-01,ac2d2e7a-7dfe-49fa-9a9c-f5b966d46712,Finance Controller,Month 7 gross revenue will be >= 13691.70.,0.6,market_oracle_pre_decision_signal:seed=7319:month=7,market_oracle_monthly_actual:seed=7319:month=7,True,0.09,0.09,0.0,gross revenue actual 30078.0 >= 13691.70
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,7,2027-07-01,bb260a38-d1c3-47d8-9526-50a177bbc501,Operations Manager,Month 7 stockout risk will be <= 0.1000.,0.64,market_oracle_pre_decision_signal:seed=7319:month=7,market_oracle_monthly_actual:seed=7319:month=7,True,0.1667,0.1359,-0.0308,stockout risk actual 0.0598 <= 0.1000
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,7,2027-07-01,8c3293d5-86af-4ca9-ae7f-2be21e86afac,Founder CEO,Month 7 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=7,market_oracle_monthly_actual:seed=7319:month=7,False,0.1778,0.0805,-0.0973,health score actual 0.3996 < 0.4554
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,8,2027-08-01,c83a1a36-e477-420e-b0d4-3535acc12b7d,Growth Marketer,Month 8 CAC will be <= 35.72.,0.62,market_oracle_pre_decision_signal:seed=7319:month=8,market_oracle_monthly_actual:seed=7319:month=8,False,0.0306,0.0225,-0.0081,CAC actual 47.17 > 35.72
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,8,2027-08-01,a58c57a3-81e0-4ea8-91fb-4c8d722df9ed,Product Manager,Month 8 conversion rate will be >= 0.0435.,0.58,market_oracle_pre_decision_signal:seed=7319:month=8,market_oracle_monthly_actual:seed=7319:month=8,True,0.09,0.09,0.0,conversion actual 0.0578 >= 0.0435
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,8,2027-08-01,2ff2e36b-0213-454f-81f2-b898b4aeff5c,Finance Controller,Month 8 gross revenue will be >= 18376.88.,0.6,market_oracle_pre_decision_signal:seed=7319:month=8,market_oracle_monthly_actual:seed=7319:month=8,True,0.09,0.09,0.0,gross revenue actual 38097.0 >= 18376.88
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,8,2027-08-01,fcc2a7a0-ad9c-4c7e-8d42-4b34fade44a7,Operations Manager,Month 8 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=8,market_oracle_monthly_actual:seed=7319:month=8,True,0.1359,0.1247,-0.0112,stockout risk actual 0.0589 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,8,2027-08-01,d412be40-fea2-4ba6-bfdb-33f96f596bb2,Founder CEO,Month 8 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=8,market_oracle_monthly_actual:seed=7319:month=8,False,0.0805,0.0413,-0.0392,health score actual 0.3807 < 0.4096
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,9,2027-09-01,7eab52dc-0b96-4b0b-96e4-13b8eed1904e,Growth Marketer,Month 9 CAC will be <= 42.97.,0.62,market_oracle_pre_decision_signal:seed=7319:month=9,market_oracle_monthly_actual:seed=7319:month=9,False,0.0225,0.02,-0.0025,CAC actual 50.89 > 42.97
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,9,2027-09-01,1466cdce-9f4f-4036-bbe7-75df6bba9905,Product Manager,Month 9 conversion rate will be >= 0.0443.,0.58,market_oracle_pre_decision_signal:seed=7319:month=9,market_oracle_monthly_actual:seed=7319:month=9,True,0.09,0.09,0.0,conversion actual 0.0561 >= 0.0443
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,9,2027-09-01,73ef8205-a243-4e27-aba4-a570732b90da,Finance Controller,Month 9 gross revenue will be >= 22854.15.,0.6,market_oracle_pre_decision_signal:seed=7319:month=9,market_oracle_monthly_actual:seed=7319:month=9,True,0.09,0.09,0.0,gross revenue actual 46224.0 >= 22854.15
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,9,2027-09-01,092c5b2e-f5d3-44a3-bb66-027155478bcd,Operations Manager,Month 9 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=9,market_oracle_monthly_actual:seed=7319:month=9,True,0.1247,0.1156,-0.0091,stockout risk actual 0.0579 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,9,2027-09-01,f5af8bd6-4a4b-4962-97d6-cc4046c7419c,Founder CEO,Month 9 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=9,market_oracle_monthly_actual:seed=7319:month=9,False,0.0413,0.0311,-0.0102,health score actual 0.3716 < 0.3907
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,10,2027-10-01,f20d749e-f6ec-41eb-a327-ef11057c3dd8,Growth Marketer,Month 10 CAC will be <= 42.69.,0.62,market_oracle_pre_decision_signal:seed=7319:month=10,market_oracle_monthly_actual:seed=7319:month=10,True,0.02,0.036,0.016,CAC actual 34.88 <= 42.69
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,10,2027-10-01,d9ea91cb-0a73-4c1b-8f49-51c1d1df5027,Product Manager,Month 10 conversion rate will be >= 0.0464.,0.58,market_oracle_pre_decision_signal:seed=7319:month=10,market_oracle_monthly_actual:seed=7319:month=10,True,0.09,0.09,0.0,conversion actual 0.0559 >= 0.0464
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,10,2027-10-01,fa4732a4-d4a1-4f63-a00c-39dd91d83320,Finance Controller,Month 10 gross revenue will be >= 27286.88.,0.6,market_oracle_pre_decision_signal:seed=7319:month=10,market_oracle_monthly_actual:seed=7319:month=10,True,0.09,0.09,0.0,gross revenue actual 45387.0 >= 27286.88
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,10,2027-10-01,89b9858c-ca12-4cca-bd40-54d45a0b5d91,Operations Manager,Month 10 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=10,market_oracle_monthly_actual:seed=7319:month=10,True,0.1156,0.108,-0.0076,stockout risk actual 0.057 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,10,2027-10-01,a0c3dac1-1761-4fe3-8632-7fbb150946c6,Founder CEO,Month 10 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=10,market_oracle_monthly_actual:seed=7319:month=10,False,0.0311,0.024,-0.0071,health score actual 0.3516 < 0.3816
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,11,2027-11-01,9157b821-392d-497e-b10d-4129734107ac,Growth Marketer,Month 11 CAC will be <= 35.97.,0.62,market_oracle_pre_decision_signal:seed=7319:month=11,market_oracle_monthly_actual:seed=7319:month=11,True,0.036,0.0684,0.0324,CAC actual 32.61 <= 35.97
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,11,2027-11-01,900acafe-9e2f-4992-800b-49b978d1332e,Product Manager,Month 11 conversion rate will be >= 0.0487.,0.58,market_oracle_pre_decision_signal:seed=7319:month=11,market_oracle_monthly_actual:seed=7319:month=11,True,0.09,0.09,0.0,conversion actual 0.0611 >= 0.0487
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,11,2027-11-01,6b9fddc6-a763-49a9-b675-1bdb7b5817ad,Finance Controller,Month 11 gross revenue will be >= 26819.10.,0.6,market_oracle_pre_decision_signal:seed=7319:month=11,market_oracle_monthly_actual:seed=7319:month=11,True,0.09,0.09,0.0,gross revenue actual 44091.0 >= 26819.10
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,11,2027-11-01,4f73cb7c-2410-46db-84ec-aa2490ebc387,Operations Manager,Month 11 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=11,market_oracle_monthly_actual:seed=7319:month=11,True,0.108,0.1017,-0.0063,stockout risk actual 0.056 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,11,2027-11-01,0cb62861-d138-4d61-a26c-9edc071b759d,Founder CEO,Month 11 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=11,market_oracle_monthly_actual:seed=7319:month=11,False,0.024,0.0188,-0.0052,health score actual 0.3099 < 0.3616
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,12,2027-12-01,d4fe0fac-e99d-48ac-b4bd-64b4ca061cea,Growth Marketer,Month 12 CAC will be <= 40.82.,0.62,market_oracle_pre_decision_signal:seed=7319:month=12,market_oracle_monthly_actual:seed=7319:month=12,True,0.0684,0.1823,0.1139,CAC actual 28.85 <= 40.82
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,12,2027-12-01,8d9cb843-08c6-4c47-a872-a71a02ae749b,Product Manager,Month 12 conversion rate will be >= 0.0439.,0.58,market_oracle_pre_decision_signal:seed=7319:month=12,market_oracle_monthly_actual:seed=7319:month=12,True,0.09,0.09,0.0,conversion actual 0.0624 >= 0.0439
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,12,2027-12-01,fac9423e-cff2-4664-96dc-436f7035de95,Finance Controller,Month 12 gross revenue will be >= 26722.58.,0.6,market_oracle_pre_decision_signal:seed=7319:month=12,market_oracle_monthly_actual:seed=7319:month=12,True,0.09,0.09,0.0,gross revenue actual 43632.0 >= 26722.58
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,12,2027-12-01,2dc6b3ad-87d9-4469-a82c-370496354b7f,Operations Manager,Month 12 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=12,market_oracle_monthly_actual:seed=7319:month=12,True,0.1017,0.0963,-0.0054,stockout risk actual 0.055 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,12,2027-12-01,16247455-ba97-4cdd-841f-ff4ea2692b6e,Founder CEO,Month 12 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=12,market_oracle_monthly_actual:seed=7319:month=12,False,0.0188,0.015,-0.0038,health score actual 0.3017 < 0.3199
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,13,2028-01-01,b75ee464-22d6-43b3-9298-0cac0b417e2f,Growth Marketer,Month 13 CAC will be <= 41.48.,0.62,market_oracle_pre_decision_signal:seed=7319:month=13,market_oracle_monthly_actual:seed=7319:month=13,True,0.1823,0.3298,0.1475,CAC actual 39.47 <= 41.48
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,13,2028-01-01,b7fdf14c-87ce-4bc0-848f-12cf6c5ef8a1,Product Manager,Month 13 conversion rate will be >= 0.0495.,0.58,market_oracle_pre_decision_signal:seed=7319:month=13,market_oracle_monthly_actual:seed=7319:month=13,True,0.09,0.09,0.0,conversion actual 0.065 >= 0.0495
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,13,2028-01-01,b07cc894-6e07-44f8-9799-9ceab7aa96d2,Finance Controller,Month 13 gross revenue will be >= 25022.25.,0.6,market_oracle_pre_decision_signal:seed=7319:month=13,market_oracle_monthly_actual:seed=7319:month=13,True,0.09,0.09,0.0,gross revenue actual 49086.0 >= 25022.25
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,13,2028-01-01,b60352f8-5354-4a89-87f6-a866e4419a9b,Operations Manager,Month 13 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=13,market_oracle_monthly_actual:seed=7319:month=13,True,0.0963,0.0916,-0.0047,stockout risk actual 0.0541 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,13,2028-01-01,9556222d-d72f-4e50-9d5b-7f21a7add7de,Founder CEO,Month 13 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=13,market_oracle_monthly_actual:seed=7319:month=13,False,0.015,0.0138,-0.0012,health score actual 0.2797 < 0.3117
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,14,2028-02-01,662e6806-c0be-4859-9ac4-fb151c3322fd,Growth Marketer,Month 14 CAC will be <= 43.28.,0.62,market_oracle_pre_decision_signal:seed=7319:month=14,market_oracle_monthly_actual:seed=7319:month=14,True,0.3298,0.5,0.1702,CAC actual 41.38 <= 43.28
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,14,2028-02-01,36b40338-5254-4e85-9db1-31ae27e868f5,Product Manager,Month 14 conversion rate will be >= 0.0486.,0.58,market_oracle_pre_decision_signal:seed=7319:month=14,market_oracle_monthly_actual:seed=7319:month=14,True,0.09,0.09,0.0,conversion actual 0.0549 >= 0.0486
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,14,2028-02-01,8694ab1c-939e-46ff-bc3d-651ac3b3c300,Finance Controller,Month 14 gross revenue will be >= 27591.30.,0.6,market_oracle_pre_decision_signal:seed=7319:month=14,market_oracle_monthly_actual:seed=7319:month=14,True,0.09,0.09,0.0,gross revenue actual 53892.0 >= 27591.30
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,14,2028-02-01,142e6da8-8c32-4ec5-8253-2a4a6c7eb33b,Operations Manager,Month 14 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=14,market_oracle_monthly_actual:seed=7319:month=14,True,0.0916,0.0876,-0.004,stockout risk actual 0.0531 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,14,2028-02-01,1c8db6bb-1089-4a7f-9ccc-0ed6decea209,Founder CEO,Month 14 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=14,market_oracle_monthly_actual:seed=7319:month=14,False,0.0138,0.0129,-0.0009,health score actual 0.2661 < 0.2897
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,15,2028-03-01,8c7360f8-1f20-4108-8849-46d29893139f,Growth Marketer,Month 15 CAC will be <= 37.24.,0.62,market_oracle_pre_decision_signal:seed=7319:month=15,market_oracle_monthly_actual:seed=7319:month=15,False,0.5,0.35,-0.15,CAC actual 38.96 > 37.24
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,15,2028-03-01,0328126e-ed53-48c2-81f0-20d1479b42f4,Product Manager,Month 15 conversion rate will be >= 0.0454.,0.58,market_oracle_pre_decision_signal:seed=7319:month=15,market_oracle_monthly_actual:seed=7319:month=15,True,0.09,0.09,0.0,conversion actual 0.0559 >= 0.0454
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,15,2028-03-01,635402b3-b70b-4a69-8677-e73a824019f0,Finance Controller,Month 15 gross revenue will be >= 30390.53.,0.6,market_oracle_pre_decision_signal:seed=7319:month=15,market_oracle_monthly_actual:seed=7319:month=15,True,0.09,0.09,0.0,gross revenue actual 59670.0 >= 30390.53
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,15,2028-03-01,e7153c62-638e-40cb-b527-82f2ee74f50d,Operations Manager,Month 15 stockout risk will be <= 0.1600.,0.64,market_oracle_pre_decision_signal:seed=7319:month=15,market_oracle_monthly_actual:seed=7319:month=15,True,0.0876,0.084,-0.0036,stockout risk actual 0.0522 <= 0.1600
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,15,2028-03-01,ee633748-e26b-4267-afe2-e2fea0b0a167,Founder CEO,Month 15 strategy will improve business health score.,0.56,market_oracle_pre_decision_signal:seed=7319:month=15,market_oracle_monthly_actual:seed=7319:month=15,False,0.0129,0.012,-0.0009,health score actual 0.2707 < 0.2761
pawdent-0476b188-783f-4265-8a7a-65bfa05a0684,7319,16,2028-04-01,0b28fbe7-b08b-4634-b770-506249e91da2,Growth Marketer,Month 16 CAC will be <= 43.05.,0.62,market_oracle_pre_decision_signal:seed=7319:month=16,market_oracle_monthly_actual:seed=7319:month=16,True,0.35,0.5,0.15,CAC actual 38.1 <= 43.05
